City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namibe,-15.1961,12.1522,23.15,85,78,4.55,AO,1733430882
1,waitangi,-43.9535,-176.5597,12.12,93,100,6.71,NZ,1733430883
2,grytviken,-54.2811,-36.5092,0.46,76,100,2.62,GS,1733430884
3,al muwayh,22.4333,41.7583,20.63,54,59,1.74,SA,1733430885
4,mount gambier,-37.8333,140.7667,17.42,77,100,0.89,AU,1733430836
5,grand falls-windsor,48.9332,-55.6649,-2.5,73,97,0.89,CA,1733430887
6,ilulissat,69.2167,-51.1,-9.99,62,75,8.23,GL,1733430888
7,constantia,44.1833,28.65,2.38,83,100,6.48,RO,1733430889
8,puerto natales,-51.7236,-72.4875,10.25,43,75,6.17,CL,1733430890
9,hamilton,39.1834,-84.5333,-3.09,54,0,8.23,US,1733430891
10,badger,64.8,-147.5333,-7.02,88,75,2.06,US,1733430892
11,berezovyy,51.6667,135.7,-16.78,94,100,2.18,RU,1733430893
12,mirny,62.5353,113.9611,-15.36,95,100,4.47,RU,1733430894
13,adamstown,-25.066,-130.1015,23.3,73,100,6.54,PN,1733430895
14,floro,61.5996,5.0328,3.98,87,75,10.29,NO,1733430896
15,atafu village,-8.5421,-172.5159,28.48,63,3,5.33,TK,1733430897
16,blackmans bay,-43.0167,147.3167,15.29,85,20,1.11,AU,1733430898
17,diamantina,-18.2494,-43.6003,21.67,67,78,2.31,BR,1733430899
18,margaret river,-33.95,115.0667,10.19,89,6,3.39,AU,1733430900
19,ban tak,17.0432,99.0813,21.71,89,0,0.93,TH,1733430901
20,kavieng,-2.5744,150.7967,27.84,82,100,7.18,PG,1733430902
21,vilyuchinsk,52.9306,158.4028,-4.85,83,52,4.33,RU,1733430904
22,laojunmiao,39.8333,97.7333,-9.19,51,1,2.53,CN,1733430905
23,kamaishi,39.2667,141.8833,2.19,84,68,2.45,JP,1733430906
24,faraskur,31.3298,31.7151,16.84,73,0,3.66,EG,1733430907
25,hawaiian paradise park,19.5933,-154.9731,26.05,80,100,3.6,US,1733430908
26,paita,-5.0892,-81.1144,21.63,75,33,8.3,PE,1733430909
27,ternate,0.8,127.4,26.88,82,98,3.39,ID,1733430910
28,olinda,-8.0089,-34.8553,27.85,69,75,4.12,BR,1733430911
29,lebu,-37.6167,-73.65,14.76,70,17,4.31,CL,1733430912
30,autazes,-3.5797,-59.1306,33.5,46,98,1.92,BR,1733430913
31,laguna,38.421,-121.4238,17.84,64,0,3.09,US,1733430914
32,port-aux-francais,-49.35,70.2167,3.64,96,73,18.47,TF,1733430915
33,georgetown,5.4112,100.3354,26.96,87,20,1.54,MY,1733430650
34,yellowknife,62.456,-114.3525,-14.69,85,75,4.63,CA,1733430917
35,thompson,55.7435,-97.8558,-18.91,84,100,1.03,CA,1733430918
36,fale old settlement,-9.3852,-171.2468,28.51,68,2,4.21,TK,1733430919
37,ushuaia,-54.8,-68.3,6.81,53,75,8.23,AR,1733430920
38,berdigestyakh,62.0989,126.6992,-22.91,97,96,3.42,RU,1733430921
39,albany,42.6001,-73.9662,2.23,67,94,2.68,US,1733430757
40,naracoorte,-36.9579,140.7383,20.51,50,100,4.19,AU,1733430923
41,lae,-6.7221,146.9847,23.67,89,100,0.99,PG,1733430924
42,bredasdorp,-34.5322,20.0403,17.28,68,100,5.69,ZA,1733430925
43,big bend,-26.8167,31.9333,24.1,70,65,0.65,SZ,1733430926
44,yelbarga,15.6333,76.0167,23.49,77,90,3.73,IN,1733430927
45,burutu,5.3509,5.5076,27.21,75,6,2.87,NG,1733430928
46,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,68,75,3.0,RU,1733430930
47,nar'yan-mar,67.6713,53.087,-3.32,79,100,9.48,RU,1733430931
48,invercargill,-46.4,168.35,12.79,94,100,6.71,NZ,1733430932
49,port lincoln,-34.7333,135.8667,20.23,79,97,5.16,AU,1733430933
50,sirte,31.2089,16.5887,15.22,69,98,10.23,LY,1733430934
51,lompoc,34.6391,-120.4579,23.72,69,40,3.6,US,1733430935
52,ribeira grande,38.5167,-28.7,19.87,88,40,8.94,PT,1733430936
53,tiksi,71.6872,128.8694,-24.87,96,68,2.92,RU,1733430937
54,port elizabeth,-33.918,25.5701,19.06,86,20,2.68,ZA,1733430938
55,tan-tan,28.438,-11.1032,16.73,87,100,0.86,MA,1733430939
56,itoman,26.1247,127.6694,20.01,64,82,3.6,JP,1733430940
57,senekal,-28.3197,27.6208,16.5,58,65,1.21,ZA,1733430941
58,ed damer,17.5928,33.9592,22.81,30,7,7.33,SD,1733430942
59,hammerfest,70.6634,23.6821,-2.75,74,0,3.09,NO,1733430943
60,koungheul,13.9833,-14.8,27.74,12,100,5.63,SN,1733430944
61,fort mcmurray,56.7268,-111.381,-3.23,80,100,2.06,CA,1733430925
62,kourou,5.1552,-52.6478,25.14,84,63,3.42,GF,1733430946
63,tual,-5.6667,132.75,28.82,76,100,5.17,ID,1733430947
64,edinburgh of the seven seas,-37.0676,-12.3116,14.98,82,4,10.71,SH,1733430948
65,college,64.8569,-147.8028,-6.97,78,100,2.06,US,1733430949
66,kasempa,-13.4584,25.8338,22.52,43,88,3.15,ZM,1733430950
67,hermanus,-34.4187,19.2345,18.22,76,100,6.4,ZA,1733430951
68,bilibino,68.0546,166.4372,-22.31,99,9,2.08,RU,1733430953
69,pangkalanbuun,-2.6833,111.6167,22.91,100,100,1.15,ID,1733430954
70,iqaluit,63.7506,-68.5145,-13.15,71,75,1.03,CA,1733430955
71,talnakh,69.4865,88.3972,-17.86,93,100,2.58,RU,1733430956
72,anadyr,64.75,177.4833,-24.72,75,0,5.0,RU,1733430958
73,saldanha,-33.0117,17.9442,19.03,80,100,2.75,ZA,1733430959
74,whitehorse,60.7161,-135.0538,6.43,60,75,7.72,CA,1733430960
75,kapuskasing,49.4169,-82.4331,-7.95,79,40,10.8,CA,1733430961
76,guerrero negro,27.9769,-114.0611,18.9,67,0,7.03,MX,1733430962
77,jamestown,42.097,-79.2353,-3.88,100,100,10.29,US,1733430964
78,punta arenas,-53.15,-70.9167,9.06,53,75,2.06,CL,1733430965
79,kapa'a,22.0752,-159.319,26.38,78,100,6.17,US,1733430966
80,ellsworth,44.5434,-68.4195,1.96,90,100,1.54,US,1733430967
81,shahdad kot,27.8477,67.9055,18.71,27,2,1.87,PK,1733430968
82,bahir dar,11.5936,37.3908,15.61,55,7,1.28,ET,1733430969
83,nyurba,63.2842,118.3319,-18.62,95,100,3.5,RU,1733430970
84,geraldton,-28.7667,114.6,19.23,72,0,6.69,AU,1733430674
85,afaahiti,-17.75,-149.2833,25.8,76,100,7.84,PF,1733430973
86,kuala kangsar,4.7667,100.9333,24.97,99,71,0.67,MY,1733430974
87,longyearbyen,78.2186,15.6401,-7.09,63,0,8.23,SJ,1733430975
88,west island,-12.1568,96.8225,26.99,78,40,7.72,CC,1733430976
89,hithadhoo,-0.6,73.0833,27.5,77,100,4.85,MV,1733430977
90,hobyo,5.3505,48.5268,26.46,75,0,8.51,SO,1733430978
91,dapa,9.7594,126.0531,26.04,85,100,0.72,PH,1733430979
92,zhanaozen,43.3,52.8,0.96,78,9,3.38,KZ,1733430980
93,illizi,26.4833,8.4667,12.27,57,1,3.27,DZ,1733430981
94,stanley,54.868,-1.6985,7.01,84,20,7.2,GB,1733430982
95,montmagny,48.9734,2.3469,11.27,96,100,7.72,FR,1733430983
96,uturoa,-16.7333,-151.4333,27.45,76,100,7.74,PF,1733430984
97,kailua-kona,19.6406,-155.9956,28.64,63,0,3.09,US,1733430985
98,bethel,41.3712,-73.414,2.51,66,100,6.17,US,1733430986
99,kapit,2.0167,112.9333,22.39,99,100,0.8,MY,1733430987
100,hameenkyro,61.6391,23.1953,-1.85,94,90,4.27,FI,1733430988
101,olonkinbyen,70.9221,-8.7187,-1.99,99,100,9.05,SJ,1733430989
102,virginia beach,36.8529,-75.978,11.02,20,20,9.26,US,1733430990
103,katsuura,35.1333,140.3,10.71,57,28,0.84,JP,1733430992
104,kingston,17.997,-76.7936,28.53,84,75,5.66,JM,1733430994
105,utrik,11.2278,169.8474,27.68,83,79,11.11,MH,1733430995
106,fallon,39.4735,-118.7774,8.39,49,20,2.06,US,1733430996
107,tsiombe,-25.3,45.4833,24.29,91,0,0.56,MG,1733430997
108,pimenta bueno,-11.6725,-61.1936,29.65,65,98,2.59,BR,1733430998
109,isafjordur,66.0755,-23.124,-3.48,94,100,4.79,IS,1733430999
110,ad dilam,23.9915,47.1627,19.91,43,0,4.28,SA,1733431000
111,ust-nera,64.5667,143.2,-25.61,99,90,1.09,RU,1733431001
112,kodiak,57.79,-152.4072,-1.27,100,100,0.0,US,1733431002
113,qaqortoq,60.7167,-46.0333,-15.4,80,79,3.14,GL,1733431003
114,broken hill,-31.95,141.4333,31.29,37,58,6.98,AU,1733431004
115,karliova,39.2983,41.0142,-8.29,94,99,0.56,TR,1733431005
116,vale de cambra,40.8497,-8.3939,13.62,92,100,0.78,PT,1733431006
117,port alfred,-33.5906,26.891,18.99,81,65,4.57,ZA,1733431007
118,ma'rib,15.4591,45.3253,17.6,30,0,1.09,YE,1733431008
119,kuta,-8.7233,115.1723,26.97,89,40,1.03,ID,1733431009
120,terrace,54.5163,-128.6035,6.95,100,100,1.03,CA,1733431010
121,vorgashor,67.5833,63.95,-3.29,95,100,9.18,RU,1733431011
122,saipan,15.1355,145.701,28.39,85,75,4.63,MP,1733431012
123,ilhabela,-23.7781,-45.3581,23.15,95,93,3.73,BR,1733431013
124,icano,-28.9193,-65.3282,33.85,35,35,6.97,AR,1733431014
125,mao,39.8885,4.2658,10.31,87,0,2.57,ES,1733431015
126,minas de marcona,-15.2119,-75.1103,18.33,69,39,8.69,PE,1733431016
127,st. john's,47.5649,-52.7093,1.75,74,75,3.09,CA,1733430919
128,palmer,42.1584,-72.3287,3.06,68,75,5.14,US,1733431019
129,paphos,34.7667,32.4167,13.88,82,0,2.57,CY,1733431020
130,alice springs,-23.7,133.8833,23.75,78,18,3.09,AU,1733431021
131,lihue,21.9789,-159.3672,25.97,76,100,6.17,US,1733431022
132,avarua,-21.2078,-159.775,26.03,73,40,5.14,CK,1733431023
133,kununurra,-15.7667,128.7333,24.99,94,100,1.03,AU,1733431025
134,green river,41.5286,-109.4662,1.1,60,0,0.45,US,1733431026
135,mendi,-6.1761,143.6513,13.44,96,100,1.48,PG,1733431027
136,karukh,34.4811,62.5863,4.13,48,0,2.3,AF,1733431028
137,portland,45.5234,-122.6762,8.95,65,20,3.13,US,1733430379
138,ketchikan,55.3422,-131.6461,8.76,93,100,5.14,US,1733431030
139,bandar-e lengeh,26.5579,54.8807,21.99,56,0,0.73,IR,1733431031
140,alofi,-19.0595,-169.9187,26.94,78,75,6.69,NU,1733431032
141,nagato,34.3833,131.2,11.19,57,92,10.02,JP,1733431033
142,hadibu,12.65,54.0333,25.36,72,6,7.41,YE,1733431034
143,papatowai,-46.5619,169.4708,12.68,83,83,4.55,NZ,1733431035
144,buala,-8.145,159.5921,28.09,82,100,4.13,SB,1733431036
145,chita,52.0333,113.55,-35.06,75,20,1.0,RU,1733431037
146,malax,62.9423,21.5731,-1.68,93,100,4.63,FI,1733431038
147,spring creek,40.7266,-115.5859,6.01,34,6,0.83,US,1733431040
148,lady frere,-31.7031,27.2329,15.93,81,86,1.75,ZA,1733431041
149,severo-yeniseyskiy,60.3725,93.0408,-10.56,91,99,3.65,RU,1733431042
150,hilvan,37.5869,38.9551,6.49,100,75,4.12,TR,1733431043
151,jiagedaqi,50.4167,124.1167,-25.54,98,24,1.97,CN,1733431044
152,kolpashevo,58.3131,82.9089,-6.97,93,100,4.83,RU,1733431045
153,sola,-13.8833,167.55,26.73,79,100,5.14,VU,1733431046
154,angaur state,6.906,134.13,28.85,77,92,4.76,PW,1733431047
155,mogocha,53.7333,119.7667,-22.3,94,73,1.85,RU,1733431048
156,malango,-2.9627,119.9001,20.07,96,100,0.95,ID,1733431049
157,matoury,4.8483,-52.3317,27.98,74,75,6.69,GF,1733431050
158,gadzhiyevo,69.2551,33.3362,-3.71,85,93,9.26,RU,1733431052
159,fort st. john,56.2499,-120.8529,5.94,75,75,7.72,CA,1733431053
160,salima,-13.7804,34.4587,25.75,74,97,1.29,MW,1733431054
161,rongelap,11.1635,166.8941,27.91,82,44,11.23,MH,1733431055
162,doctor alberto oviedo mota,32.2275,-115.1697,26.57,12,31,3.8,MX,1733431056
163,sao joao da barra,-21.6403,-41.0511,28.05,85,79,4.19,BR,1733431057
164,svetlyy,54.675,20.1347,3.13,82,89,5.91,RU,1733431058
165,turpan,42.9333,89.1667,-0.97,78,0,0.33,CN,1733431060
166,mount isa,-20.7333,139.5,22.87,100,7,0.0,AU,1733431061
167,ghadamis,30.1337,9.5007,12.03,45,19,5.46,LY,1733431062
168,algona,43.07,-94.233,-7.72,62,0,3.09,US,1733431063
169,yuzhno-kurilsk,44.0306,145.8556,-1.01,60,100,3.29,RU,1733431064
170,horta,38.5333,-28.6333,19.45,89,40,9.83,PT,1733431065
171,jutai,-5.1833,-68.9,26.55,82,100,1.22,BR,1733431066
172,brookings,44.3114,-96.7984,-7.68,70,100,3.09,US,1733431067
173,maragogi,-9.0122,-35.2225,25.62,77,74,3.93,BR,1733431068
174,al 'aziziyah,32.9058,45.0616,14.83,28,32,4.11,IQ,1733431069
175,trelleborg,55.3751,13.1569,4.41,79,100,11.01,SE,1733431070
176,mbuji-mayi,-6.15,23.6,20.01,93,98,0.7,CD,1733431071
177,howard springs,-12.497,131.047,25.46,89,100,2.26,AU,1733431072
178,el calafate,-50.3408,-72.2768,9.35,49,46,1.91,AR,1733431073
179,dunedin,-45.8742,170.5036,13.22,81,37,3.58,NZ,1733431074
180,tsengel,49.4783,100.8894,-11.97,78,61,2.78,MN,1733431075
181,at taj,24.2049,23.2857,12.78,36,48,1.2,LY,1733431076
182,gilgit,35.9221,74.3087,-3.04,45,0,1.92,PK,1733431077
183,santa ana,33.7456,-117.8678,19.82,87,100,2.06,US,1733431078
184,hola,51.5377,23.1902,0.62,97,100,2.7,PL,1733431079
185,rotonda west,26.8837,-82.2901,23.32,53,0,2.57,US,1733431080
186,dryden,49.7833,-92.7503,-10.84,79,40,5.14,CA,1733431081
187,usogorsk,63.4106,48.6872,-11.51,93,18,3.15,RU,1733431082
188,kargasok,59.0556,80.8572,-5.76,90,100,5.2,RU,1733431084
189,porto franco,-6.3383,-47.3992,28.15,61,100,0.9,BR,1733431085
190,tura,25.5198,90.2201,14.71,74,0,1.2,IN,1733431086
191,homer,59.6425,-151.5483,5.02,87,20,1.54,US,1733431087
192,tangalle,6.024,80.7911,24.77,85,98,0.69,LK,1733431088
193,enewetak,11.3474,162.3373,28.06,81,8,11.08,MH,1733431089
194,mahina,-17.5065,-149.489,28.87,61,75,6.69,PF,1733431090
195,vilcun,-38.65,-72.2333,12.75,92,89,1.37,CL,1733431091
196,palikir - national government center,6.9248,158.1611,28.47,84,100,7.2,FM,1733431093
197,kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1733431094
198,taltal,-25.4,-70.4833,19.34,67,99,3.52,CL,1733431095
199,douentza,14.9951,-2.9517,23.74,14,24,2.52,ML,1733431096
200,port mathurin,-19.6833,63.4167,24.25,80,88,8.21,MU,1733431097
201,nahiyat ash shinafiyah,31.5874,44.6602,15.22,25,0,3.3,IQ,1733431098
202,revda,56.801,59.9303,-8.65,89,95,4.09,RU,1733431099
203,new norfolk,-42.7826,147.0587,15.95,54,27,1.09,AU,1733431100
204,tolanaro,-25.0319,46.9987,26.04,83,0,9.26,MG,1733431101
205,tchintabaraden,15.8969,5.7985,21.6,14,100,3.19,NE,1733431102
206,walvis bay,-22.9575,14.5053,16.53,88,5,2.57,NA,1733431103
207,shitanjing,39.2342,106.3439,-4.16,60,4,6.48,CN,1733431105
208,anshun,26.25,105.9333,5.5,89,100,3.72,CN,1733431106
209,khovd,48.0056,91.6419,-11.87,68,4,1.84,MN,1733431107
210,polyarnyy,69.1989,33.4478,-3.68,85,90,8.97,RU,1733431108
211,sinabang,2.4803,96.3801,25.18,87,91,2.6,ID,1733431109
212,ankazoabo,-22.2833,44.5167,23.59,75,21,0.63,MG,1733431110
213,klyuchi,52.2667,79.1667,-13.29,94,13,2.91,RU,1733431111
214,turochak,52.2576,87.1224,-13.11,98,77,0.85,RU,1733431112
215,port saint john's,-31.6229,29.5448,21.37,86,100,3.72,ZA,1733431113
216,kirensk,57.7853,108.1119,-22.65,99,100,1.69,RU,1733431114
217,tangshan,39.6333,118.1833,-0.62,33,22,1.77,CN,1733431115
218,jayapura,-2.5333,140.7,24.66,92,94,1.79,ID,1733431116
219,palafrugell,41.9174,3.1631,8.21,81,94,1.1,ES,1733431117
220,harper,4.375,-7.7169,26.19,85,62,4.66,LR,1733431118
221,rio gallegos,-51.6226,-69.2181,8.03,46,0,3.6,AR,1733431119
222,kristiansund,63.1115,7.732,6.36,45,0,5.14,NO,1733431120
223,erdenet,49.0333,104.0833,-10.35,68,100,1.92,MN,1733431121
224,vadso,70.0744,29.7487,-5.91,73,40,10.29,NO,1733431122
225,tralee,52.2704,-9.7026,8.49,72,31,7.17,IE,1733431123
226,porbandar,21.6422,69.6093,24.3,41,82,3.93,IN,1733431124
227,zeya,53.75,127.2667,-16.08,82,100,2.9,RU,1733431125
228,santa monica,34.0195,-118.4912,22.5,71,0,2.24,US,1733430980
229,verkhnevilyuysk,63.4453,120.3167,-21.91,96,64,2.8,RU,1733431128
230,mangrol,21.1167,70.1167,24.16,46,100,4.83,IN,1733431129
231,fada,7.25,4.0667,22.65,60,58,1.17,NG,1733431130
232,tasqala,51.1167,50.3167,-5.69,82,12,4.0,KZ,1733431131
233,northam,51.0333,-4.2167,9.82,77,38,12.66,GB,1733431132
234,pacocha,-17.5833,-71.3333,22.08,56,20,4.12,PE,1733431133
235,east london,-33.0153,27.9116,20.3,73,100,3.63,ZA,1733431134
236,darhan,49.4867,105.9228,-10.77,96,100,1.54,MN,1733431135
237,beau vallon,-20.4189,57.6953,24.13,73,20,1.54,MU,1733431136
238,exmouth,50.6172,-3.4023,9.92,88,64,11.95,GB,1733431137
239,aur,8.1499,171.1687,28.28,83,57,9.95,MH,1733431138
240,wagar,16.1525,36.2032,23.59,76,1,6.81,SD,1733431139
241,tayoltita,24.0833,-105.9333,31.22,20,15,3.09,MX,1733431140
242,essaouira,31.5125,-9.77,18.72,45,83,2.06,MA,1733431141
243,alaghsas,17.0187,8.0168,21.63,14,97,3.59,NE,1733431142
244,santa elena de uairen,4.6167,-61.1333,23.31,67,89,1.78,VE,1733431143
245,gualeguay,-33.1416,-59.3097,30.98,30,100,4.97,AR,1733431144
246,villa del totoral,-30.8167,-63.7167,32.4,40,38,6.89,AR,1733431145
247,anaconda,46.1285,-112.9423,9.18,44,0,2.32,US,1733431146
248,khorugh,37.4897,71.553,-23.39,62,0,0.47,TJ,1733431147
249,vernon,50.2581,-119.2691,1.63,68,12,2.68,CA,1733431148
250,al kharijah,25.4514,30.5464,14.49,47,67,2.87,EG,1733431149
251,boende,-0.2167,20.8667,23.15,83,95,1.41,CD,1733431150
252,al mijlad,11.0333,27.7333,22.57,20,11,5.63,SD,1733431151
253,praia da vitoria,38.7333,-27.0667,18.14,88,40,7.18,PT,1733431153
254,amga,60.8953,131.9608,-22.83,96,100,2.54,RU,1733431154
255,el bauga,18.262,33.9081,20.78,27,35,5.71,SD,1733431155
256,bikenibeu village,1.3673,173.1241,29.98,74,75,7.2,KI,1733431156
257,kiunga,-6.1219,141.2906,24.02,100,100,0.67,PG,1733431157
258,udachny,66.4167,112.4,-12.61,92,100,4.78,RU,1733431158
259,luderitz,-26.6481,15.1594,15.94,90,13,4.69,NA,1733431159
260,chicomuselo,15.7667,-92.2667,27.46,52,8,0.48,MX,1733431160
261,biltine,14.5333,20.9167,23.37,19,17,3.42,TD,1733431161
262,whitby,54.4877,-0.615,8.82,85,94,4.02,GB,1733431162
263,fortuna,40.5982,-124.1573,19.96,57,0,0.0,US,1733431163
264,haiku-pauwela,20.9219,-156.3051,27.36,67,40,3.13,US,1733431164
265,susuman,62.7833,148.1667,-26.68,100,100,0.35,RU,1733431165
266,antofagasta,-23.65,-70.4,17.6,80,98,5.35,CL,1733431166
267,kruisfontein,-34.0033,24.7314,16.11,82,62,4.26,ZA,1733431167
268,remire-montjoly,4.9167,-52.2667,28.02,74,75,6.69,GF,1733431168
269,ixtapa,20.7,-105.2,26.57,65,0,3.09,MX,1733431169
270,buritizeiro,-17.3511,-44.9622,27.53,51,64,3.86,BR,1733431171
271,san lorenzo,-25.3333,-57.5333,32.19,62,100,0.89,PY,1733431172
272,piton saint-leu,-21.2196,55.3151,22.06,53,0,3.09,RE,1733431173
273,keflavik,64.0049,-22.5624,0.24,93,75,3.09,IS,1733431175
274,neyriz,29.1988,54.3278,9.0,49,0,0.94,IR,1733431176
275,yishui,35.7847,118.6281,1.89,56,60,0.77,CN,1733431177
276,selfoss,63.9331,-20.9971,1.14,91,100,2.96,IS,1733431178
277,al hazm,16.1641,44.7769,18.54,27,8,0.23,YE,1733431179
278,cholpon-ata,42.6494,77.0823,-1.06,53,20,2.24,KG,1733431181
279,wailua homesteads,22.0669,-159.378,25.63,78,100,6.17,US,1733431182
280,miringa,10.7312,12.1463,21.88,33,17,2.52,NG,1733431183
281,chopinzinho,-25.8558,-52.5233,24.85,75,100,0.5,BR,1733431184
282,road town,18.4167,-64.6167,29.02,70,20,4.63,VG,1733431185
283,atamanovka,51.93,113.63,-33.76,99,36,1.35,RU,1733431187
284,sona,45.4388,10.8255,2.51,81,0,2.06,IT,1733431189
285,diapaga,12.0708,1.7889,22.51,17,11,2.96,BF,1733431190
286,baise city,23.8997,106.6133,16.8,87,98,0.68,CN,1733431191
287,cidreira,-30.1811,-50.2056,22.05,81,0,5.71,BR,1733431192
288,zambezi,-13.5432,23.1047,22.35,43,78,3.58,ZM,1733431193
289,egilsstadir,65.2653,-14.3948,0.95,75,100,4.12,IS,1733431194
290,baotou,40.6522,109.8222,-4.24,64,56,3.42,CN,1733431195
291,eyl,7.9803,49.8164,25.2,75,5,8.32,SO,1733431196
292,tindouf,27.6711,-8.1474,17.25,27,0,1.03,DZ,1733431197
293,gazipasa,36.2694,32.3179,12.05,87,0,3.09,TR,1733431198
